행선국(도착지별),2023년 1월,2023년 2월,2023년 3월,2023년 4월,2023년 5월,2023년 6월,2023년 7월,2023년 8월,2023년 9월,2023년 10월,2023년 11월
일본,576313,566582,471099,468221,516279,528135,613490,560622,559029,609713,633114
베트남,273775,274516,248493,250730,253890,274499,342076,350724,299265,303264,327790
타이,155580,144383,103748,85343,94252,112142,138530,134504,121406,115377,132812
필리핀,129609,125872,103822,93231,107003,121320,146858,140075,118501,116407,124206
미국,100932,68005,63329,74421,86559,89300,106379,102015,109459,95103,79577
싱가포르,58781,56932,36268,33675,43182,42825,62284,56227,50700,46855,41212
괌,40366,39674,36831,36265,29511,3104,28161,32543,30512,30950,32526
말레이시아,40305,37463,25968,18855,23980,27981,47716,44351,29579,25406,26874
타이완,35400,56169,48769,55962,54757,42649,45628,48132,64422,69222,82039
아랍에미리트연합,23594,19116,16811,17556,21126,20377,21462,20198,22435,21817,18829
오스트레일리아,19999,23491,17192,14655,17453,17856,20589,26281,24806,23951,27605
인도네시아,19439,17297,15328,14483,18876,17790,22531,21989,21662,19849,18981
독일,17030,13939,15321,17500,21898,23672,26962,24721,27915,24211,17596
프랑스,16496,14255,13914,14784,17004,21329,19513,15601,22166,18527,15486
튀르키예,16317,13505,10750,11266,14824,15519,16700,15578,19290,17061,12662
라오스,15950,18104,8042,5412,7352,7001,7044,6882,7366,10481,17146
캄보디아,14619,12552,4993,4650,4838,4949,6698,6401,5383,5733,5227
중국,14115,18263,25915,46406,68499,92293,120956,136856,136556,148735,130886
캐나다,11084,7508,7185,7348,10411,12481,16768,12535,14214,11807,6956
홍콩,10690,14687,15814,16317,19324,17688,22053,24161,30569,32156,42693
영국,10272,8997,7899,7958,11385,11266,13146,11615,13125,10656,8993
북마리아나군도,9622,11444,7616,9737,13793,17182,20560,19656,16078,15890,13179
카타르,8971,7072,5742,5868,7175,6481,7294,6250,7667,7347,6310
이탈리아,7482,7222,8650,14292,16933,15780,14235,12790,15780,17207,10391
핀란드,5793,4350,3639,4393,5805,6066,6497,6328,6144,4291,3731
뉴질랜드,5495,4987,3766,4148,3583,2793,4189,2439,4002,4294,6873
스페인,5223,5132,5201,7783,10471,9414,8217,7730,12312,13203,12424
네덜란드,4951,4978,3585,4389,5577,7270,7094,5383,8111,6720,6267
헝가리,4847,4283,4649,6175,6901,6325,6632,6616,6954,5970,4223
폴란드,4688,3668,2944,3016,3435,3899,4456,3759,4218,3148,2352
인도,4250,3476,3268,2967,2377,2829,4366,3246,3634,4357,4761
오스트리아,2525,2459,2985,3380,4278,3798,3714,3664,4106,3843,2402
우즈베키스탄,2437,1522,1533,2117,2419,2508,3521,3035,3415,2648,1889
에티오피아,1883,1193,849,892,1364,1337,2146,1629,1655,1438,1251
사우디아라비아,1863,927,643,900,1664,1110,1920,2046,2735,2075,409
이스라엘,1693,1753,1519,945,1491,1147,1386,1464,1619,320,0
몽골,1690,1844,2171,3267,6544,16841,31353,32780,18042,6828,2838
카자흐스탄,1632,1075,1033,1604,2262,3126,3999,3139,3149,2298,1191
네팔,1004,826,993,939,546,323,644,515,968,1072,956
기타,108754,107816,117032,128727,148167,163143,179204,181842,171371,186433,180876
