행선국(도착지별),2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07
일본,576313,566582,471099,468221,516279,528135,613490
베트남,273775,274516,248493,250730,253890,274499,342076
타이,155580,144383,103748,85343,94252,112142,138530
필리핀,129609,125872,103822,93231,107003,121320,146858
미국,100932,68005,63329,74421,86559,89300,106379
싱가포르,58781,56932,36268,33675,43182,42825,62284
괌,40366,39674,36831,36265,29511,3104,28161
말레이시아,40305,37463,25968,18855,23980,27981,47716
타이완,35400,56169,48769,55962,54757,42649,45628
아랍에미리트연합,23594,19116,16811,17556,21126,20377,21462
오스트레일리아,19999,23491,17192,14655,17453,17856,20589
인도네시아,19439,17297,15328,14483,18876,17790,22531
독일,17030,13939,15321,17500,21898,23672,26962
프랑스,16496,14255,13914,14784,17004,21329,19513
튀르키예,16317,13505,10750,11266,14824,15519,16700
라오스,15950,18104,8042,5412,7352,7001,7044
캄보디아,14619,12552,4993,4650,4838,4949,6698
중국,14115,18263,25915,46406,68499,92293,120956
캐나다,11084,7508,7185,7348,10411,12481,16768
홍콩,10690,14687,15814,16317,19324,17688,22053
영국,10272,8997,7899,7958,11385,11266,13146
북마리아나군도,9622,11444,7616,9737,13793,17182,20560
카타르,8971,7072,5742,5868,7175,6481,7294
이탈리아,7482,7222,8650,14292,16933,15780,14235
핀란드,5793,4350,3639,4393,5805,6066,6497
뉴질랜드,5495,4987,3766,4148,3583,2793,4189
스페인,5223,5132,5201,7783,10471,9414,8217
네덜란드,4951,4978,3585,4389,5577,7270,7094
헝가리,4847,4283,4649,6175,6901,6325,6632
폴란드,4688,3668,2944,3016,3435,3899,4456
인도,4250,3476,3268,2967,2377,2829,4366
오스트리아,2525,2459,2985,3380,4278,3798,3714
우즈베키스탄,2437,1522,1533,2117,2419,2508,3521
에티오피아,1883,1193,849,892,1364,1337,2146
사우디아라비아,1863,927,643,900,1664,1110,1920
이스라엘,1693,1753,1519,945,1491,1147,1386
몽골,1690,1844,2171,3267,6544,16841,31353
카자흐스탄,1632,1075,1033,1604,2262,3126,3999
네팔,1004,826,993,939,546,323,644
기타,108754,107816,117032,128727,148167,163143,179204
