행선국(지역),2022년 1월,2022년 2월,2022년 3월,2022년 4월,2022년 5월,2022년 6월,2022년 7월,2022년 8월,2022년 9월,2022년 10월,2022년 11월,2022년 12월
미국,39124,18548,24535,38352,57979,65999,86196,91628,74279,72377,67700,77913
캐나다,5113,3259,4058,5411,7474,10478,14518,15412,12335,9171,7689,9630
싱가포르,4958,2951,3681,6413,10432,18297,33932,32132,29176,30409,34328,32838
베트남,4184,6680,8421,20382,36375,62733,135681,141392,108525,132271,160519,234591
중국,4164,3928,2474,1303,2182,2612,3337,6410,6682,7213,6432,5466
아랍에미리트연합,3753,1737,2998,2508,3654,11928,19974,17886,17077,19567,15912,16419
독일,3335,2092,3378,5307,9096,14193,16871,17322,19010,17956,13933,13367
영국,3175,1634,2315,4346,5860,6549,7220,5831,7466,6607,6139,7639
일본,2589,1931,8395,10345,13261,16856,30170,42623,43069,132919,326122,464980
오스트레일리아,2534,2969,3431,5018,4992,4427,4984,4304,4283,4922,9850,13602
태국,2371,2498,3313,8072,13886,22613,54470,60507,51419,63849,83041,118046
프랑스,2060,1514,2385,5014,8009,9216,12557,12624,17960,16335,13120,13857
인도네시아,1941,1981,2269,3712,7225,6703,11077,11257,11036,14041,14345,16683
튀르키예,1537,868,1308,2828,5474,6956,10782,11261,12996,13969,12511,12637
북마리아나군도,1471,2891,2860,4330,5281,7414,8687,8166,6521,9105,8836,9907
헝가리,1372,1526,1415,1723,2062,2262,1891,2304,1809,3279,3296,3783
캄보디아,1227,1123,1464,2355,2796,2790,3888,3751,3239,3233,3856,5884
말레이시아,1171,846,871,2737,3266,6015,16901,15681,11636,13059,17356,24957
폴란드,1153,1146,1508,1929,1869,3021,4956,4079,4174,3632,2637,3148
스페인,1120,1421,1225,3100,4867,2174,678,1500,3987,4225,4636,4384
인도,1077,893,1021,1499,2644,2305,2593,2222,2073,2330,2714,2797
괌,1046,345,768,3529,11407,19340,32163,28699,22823,27967,26530,36671
필리핀,1034,2652,5728,11087,16541,27118,55746,54630,43683,48993,68737,98585
기타,62157,51739,60351,72371,91443,87980,107330,112850,107523,119463,135039,168783
